Before,target_letter,After,Instruction
وَاتَّقُوا اللَّهَ الَّذِي تَسَاءَلُونَ بِهِ وَالْأَرْحَا,مِ,,إستبدال الفتحة  / بالكسرة
إِنَّمَا يَخْشَى اللَّهَ مِنْ عِبَادِ,هُ, الْعُلَمَاءُ,إستبدال الفتحة  / بالضمة
أَنَّ اللَّهَ بَرِيءٌ مِّنَ الْمُشْرِكِينَ وَرَسُولُ,هِ,,إستبدال الضمة / بالكسرة 
وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِي,مُ, رَبُّهُ,إستبدال الفتحة / بالضمة
مَا نَنسَ,خُ, مِنْ آيَةٍ,إستبدال السكون / بالضمة
يُ,خْ,شِيكُمُ النُّعَاسَ أَمَنَةً مِّنْهُ,إستبدال خ / ح
وَلْيَسْتَعْ ,فِ,الَّذِينَ لَا يَجِدُونَ نِكَاحًا,حذف الفاء
اللَّهُ الَّذِي خَلَ,كُ,كُمْ مِنْ ضُعْفٍ,إستبدال ق / ك
أَمْ تَقُولُونَ إِنَّ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِ,ز,حَاقَ وَيَعْقُوبَ وَالْأَسْبَاطَ كَانُوا۟ هُودًا أَوْ نَصَارَىٰ,إستبدال س /  ز
وَكَذَٰلِكَ جَعَلْنَٰكُمْ أُمَّةً وَ,صَ,طًا,إستبدال س /  ص
وَلَوْ بَ,صَ,طَ اللَّٰهُ الرِّزْقَ لِعِبَادِهِ,إستبدال س /  ص
وَأَ,صَ,رُّوا۟ النَّدَامَةَ لَمَّا رَءَوا۟ الْعَذَابَ,إستبدال س / ص
هَلْ أَدُلُّكَ عَلَىٰ ,جَ,جَرَةِ الْخُلْدِ,إستبدال ش / ج
وَإِنَّ مِنْهُمْ لَفَرِيقًا يَلْ,وُ,نَ أَلْسِنَتَهُمْ بِالْكِتَابِ,ترك التشديد
سَلْ بَنِي إِسْرَائِيلَ كَمْ ,ءَ,تَيْنَاهُم مِّنْ آيَةٍ بَيِّنَةٍ,حذف الالف
يَسْأَلُكَ أَهْلُ ٱلْكِتَ,و,بِ أَن تُنَزِّلَ عَلَيْهِمْ كِتَابًا مِّنَ ٱلسَّمَاءِ,إستبدال الالف / الواو
لَّقَدْ كَانَ فِى,يُّ,وسُفَ وَإِخْوَتِهِ ءَايَاتٌ لِّلسَّائِلِينَ,أضافة تشديد
وَا,سْ,لُ عَلَيْهِمْ نَبَأَ إِبْرَاهِيمَ,إستبدال ت / س
وَحِينَ, طَ,ضَعُونَ ثِيَابَكُم مِّنَ ٱلظَّهِيرَةِ,إستبدال ت / ط
أَفَ,طَ,طْمَعُونَ أَن يُؤْمِنُوا لَكُمْ,إستبدال ت / ط
,تَ,بَعُهَا الرَّادِفَةُ,حذف التاء
فَإِذَا هُم مِّنَ الْأَجْدَا,ذِ, إِلَىٰ رَبِّهِمْ يَنسِلُونَ,إستبدال ث / ذ
لَّقَدْ كَفَرَ الَّذِينَ قَالُوا إِنَّ اللَّهَ ثَا,لِ, ثَلَاثَةٍ,حذف الثاء
قَالَ كَمْ لَبِ,تُ,مْ فِي الْأَرْضِ عَدَدَ سِنِينَ,حذف الثاء
ثُمَّ ا,شْ,تَبَاهُ رَبُّهُ فَتَابَ عَلَيْهِ,إستبدال ج / ش
وَيَكُونَ ال,تِّ,ينُ لِلَّهِ,إستبدال د / ت
ذَٰلِكَ أَ,نَّ,ىٰ أَلَّا تَعُولُوا,حذف الدال
