Sentence,Before,target_letter,After,Instruction
وَاتَّقُوا اللَّهَ الَّذِي تَسَاءَلُونَ بِهِ وَالْأَرْحَامَ@ِ,وَاتَّقُوا اللَّهَ الَّذِي تَسَاءَلُونَ بِهِ وَالْأَرْحَا,مِ,,إستبدال الفتحة  / بالكسرة
إِنَّمَا يَخْشَى اللَّهَ مِنْ عِبَادِهَ@ُ الْعُلَمَاءُ,إِنَّمَا يَخْشَى اللَّهَ مِنْ عِبَادِ,هُ, الْعُلَمَاءُ,إستبدال الفتحة  / بالضمة
أَنَّ اللَّهَ بَرِيءٌ مِّنَ الْمُشْرِكِينَ وَرَسُولُهُ@ِ,أَنَّ اللَّهَ بَرِيءٌ مِّنَ الْمُشْرِكِينَ وَرَسُولُ,هِ,,إستبدال الضمة / بالكسرة 
وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِيمَ@ُ رَبُّهُ,وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِي,مُ, رَبُّهُ,إستبدال الفتحة / بالضمة
مَا نَنسَخْ@ُ مِنْ آيَةٍ,مَا نَنسَ,خُ, مِنْ آيَةٍ,إستبدال السكون / بالضمة
يُغ@خْشِيكُمُ النُّعَاسَ أَمَنَةً مِّنْهُ,يُ,خْ,شِيكُمُ النُّعَاسَ أَمَنَةً مِّنْهُ,إستبدال غ / خ
وَلْيَسْتَعْف@  ِ الَّذِينَ لَا يَجِدُونَ نِكَاحًا,وَلْيَسْتَعْ ,فِ,الَّذِينَ لَا يَجِدُونَ نِكَاحًا,حذف الفاء
اللَّهُ الَّذِي خَلَق@كُكُمْ مِنْ ضُعْفٍ ,اللَّهُ الَّذِي خَلَ,كُ,كُمْ مِنْ ضُعْفٍ,إستبدال ق / ك
أَمْ تَقُولُونَ إِنَّ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِس@زحَاقَ وَيَعْقُوبَ وَالْأَسْبَاطَ كَانُوا۟ هُودًا أَوْ نَصَارَىٰ,أَمْ تَقُولُونَ إِنَّ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِ,ز,حَاقَ وَيَعْقُوبَ وَالْأَسْبَاطَ كَانُوا۟ هُودًا أَوْ نَصَارَىٰ,إستبدال س /  ز
وَكَذَٰلِكَ جَعَلْنَٰكُمْ أُمَّةً وَس@صَ طًا,وَكَذَٰلِكَ جَعَلْنَٰكُمْ أُمَّةً وَ,صَ,طًا,إستبدال س /  ص
